All,Tous
"Something went wrong while importing table rates.","Une erreur s'est produite lors de l'enregistrement de la tarification."
"We couldn't import this file because of these errors: %1","Nous n'avons pas pu importer ce fichier en raison de ces erreurs : %1"
"Requested column ""%1"" cannot be resolved","La colonne demandée ""%1"" ne peut être trouvée"
"Column ""%1"" not found","Colonne ""%1"" non trouvée"
"Please correct Table Rates format in the Row #%1.","Veuillez corriger le format des taux de table dans la ligne #%1."
"Please correct Country ""%1"" in the Row #%2.","Veuillez corriger le pays ""%1"" dans la ligne #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Veuillez corriger la région/État ""%1"" dans la ligne #%2."
"Please correct %1 ""%2"" in the Row #%3.","Veuillez corriger %1 ""%2"" dans la ligne #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Veuillez corriger les frais d'envoi ""%1"" dans la ligne n°%2."
"Duplicate Row #%1 (duplicates row #%2)","Colonne dupliquée #%1 (duplique la ligne #%2)"
"Please correct Table Rates File Format.","Veuillez corriger le format de fichier de la table des taux."
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Flat Rate","Tarif unique"
"Method Name","Nom de méthode"
"Table Rates",Tarification
"Include Virtual Products in Price Calculation","Inclure les produits virtuels dans le calcul de prix"
"Free Shipping","Livraison gratuite"
"Minimum Order Amount","Montant de commande minimum"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Ligne en double n°%1 (Pays ""%2"", Région ""%3"", Code postal ""%4"" et valeur ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Désolé, mais nous ne pouvons pas livrer dans le pays de destination avec ce module d'expédition."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","Le format de fichier de la table est incorrect en ligne ""%1"". Vérifiez le format et réessayez."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","Le ""%1"" pays en ligne ""%2"" est incorrect. Vérifiez le pays et réessayez."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","La région ou l'état ""%1"" de la ligne ""%2"" est incorrect. Vérifiez la région ou l'état et réessayez."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","Le prix de livraison ""%1"" en ligne ""%2"" est incorrect. Vérifiez le prix de livraison et réessayez."
"The Table Rates File Format is incorrect. Verify the format and try again.","Le format de fichier de la table est incorrect. Vérifiez le format et réessayez."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","Le type de code ""%1"" pour le taux de table est incorrect. Vérifiez le type et réessayez."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","Le type de code ""%1: %2"" est incorrect pour la tarification. Vérifiez-le et réessayez."
"Export VCL for Varnish %1","Export VCL pour Varnish %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","La valeur Ttl ""%1"" n'est pas valide. Veuillez utiliser uniquement des nombres égaux ou supérieurs à zéro."
"Built-in Cache","Cache intégré"
"Varnish Cache (Recommended)","Varnish Cache (Recommandé)"
"Unsupported varnish version","Version Varnish non supportée"
"Full Page Cache","Cache de page complet"
"Caching Application","Application de cache"
"Varnish Configuration","Configuration Varnish"
"Access list","Liste d'accès"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Liste d'accès IPs séparée par ',' qui peut purger la configuration de Varnish pour la génération de fichier de configuration.
                            Si le champ est vide par défaut, localhost sera sauvegardé."
"Backend host","Hôte de backend"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Spécifiez l'hôte principal pour la génération du fichier de configuration. Si le champ est vide, la valeur par défaut localhost sera enregistrée."
"Backend port","Port du backend"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Spécifiez le port principal pour la génération du fichier de configuration. Si le champ est vide, la valeur par défaut 8080 sera enregistrée."
"Grace period","Période de Grâce"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Spécifiez la période de grâce en secondes pour la génération de fichier de configuration. Si le champ est vide par défaut 300 sera sauvegardé. Cette période de grâce sera utilisée pour servir le contenu en cache lorsque le serveur est sain. Si le serveur n'est pas en bonne santé, le contenu en cache sera servi pendant 3 jours avant d'échouer."
"TTL for public content","TTL pour le contenu publique"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Durée de vie en cache de contenu public en secondes. Si le champ est vide par défaut 86400 est enregistrée."
"Page Cache","Cache de page"
"Full page caching","Cache de Full page"
"Export VCL for Varnish ","Nom complet de la personne recevant le produit ou service payé par le paiement périodique."
"Built-in Application (Not Recommended for Production Use)","Application intégrée (non recommandée pour l'utilisation en production)"
"Varnish Caching","Cache Varnish"
"Full page caching.","Cache complet de page."
"Access List value ""%1"" is not valid. Please use only IP addresses and host names.","La valeur de la liste d'accès ""%1"" n'est pas valide. Veuillez utiliser uniquement les adresses IP et les noms d'hôtes."
"Export Configuration","Configuration d'export"
"We cannot retrieve the payment method model object.","Impossible de récupérer l'objet modèle de méthode de paiement."
"We cannot retrieve the payment info model object.","Impossible de récupérer l'objet modèle d'informations de paiement."
"Switch/Solo/Maestro Issue Number","Numéro de problème Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Date de début Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","Impossible de récupérer l'objet modèle de paiement transparent."
"Command Executor for %1 is not defined.","L'Exécuteur de commande pour %1 n'est pas défini."
"Command %1 does not exist.","La commande %1 n'existe pas."
"Wrong gateway response format.","Format de réponse de passerelle erroné."
"Validator for field %1 does not exist.","Le validateur pour le champ %1 n'existe pas."
"All Allowed Countries","Tous les pays autorisés"
"Specific Countries","Certains pays"
"The payment method you requested is not available.","Le mode de paiement demandé n'est pas disponible."
"The payment disallows storing objects.","Le paiement n'autorise pas le stockage d'objets."
"We cannot retrieve the payment method code.","Impossible de récupérer le code du mode de paiement."
"We cannot retrieve the payment information object instance.","Impossible de récupérer l'instance d'objet des informations de paiement."
"You can't use the payment type you selected to make payments to the billing country.","Vous ne pouvez pas utiliser le type de paiement que vous avez choisi pour effectuer des paiements dans le pays de facturation."
"The order action is not available.","L'action 'commande' n'est pas disponible."
"The authorize action is not available.","L'action 'autoriser' n'est pas disponible."
"The capture action is not available.","L'action 'capturer' n'est pas disponible."
"The refund action is not available.","L'action 'rembourser' n'est pas disponible."
"The void action is not available.","L'action d'annulation n'est pas disponible."
"The payment review action is unavailable.","L'action de commentaire de paiement n'est pas disponible."
"The credit card number doesn't match the credit card type.","Le numéro de carte de paiement ne correspond pas au type de carte de paiement."
"Invalid Credit Card Number","Numéro de carte bancaire invalide"
"This credit card type is not allowed for this payment method.","Le type de carte bancaire n'est pas autorisé pour ce mode de paiement."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Please enter a valid credit card expiration date.","Veuillez entre une date d'expiration valide pour la carte."
